annee,pays,icf,flag,paysFlag,paysFlagEn
2017,Allemagne,1.57,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2018,Allemagne,1.57,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2019,Allemagne,1.54,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2020,Allemagne,1.53,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2021,Allemagne,1.58,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2022,Allemagne,1.46,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2023,Allemagne,1.39,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2000,Irlande,1.89,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2001,Irlande,1.94,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2002,Irlande,1.97,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2003,Irlande,1.96,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2004,Irlande,1.93,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2005,Irlande,1.86,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2006,Irlande,1.91,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2007,Irlande,2.01,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2008,Irlande,2.06,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2009,Irlande,2.06,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2010,Irlande,2.05,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2011,Irlande,2.03,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2012,Irlande,1.98,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2013,Irlande,1.93,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2014,Irlande,1.89,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2015,Irlande,1.85,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2016,Irlande,1.81,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2017,Irlande,1.77,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2018,Irlande,1.75,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2019,Irlande,1.71,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2020,Irlande,1.63,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2021,Irlande,1.78,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2022,Irlande,1.54,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2023,Irlande,1.5,🇮🇪,Irlande 🇮🇪,Ireland 🇮🇪
2000,Pologne,1.37,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2001,Pologne,1.31,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2002,Pologne,1.25,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2003,Pologne,1.22,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2004,Pologne,1.23,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2005,Pologne,1.24,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2006,Pologne,1.27,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2007,Pologne,1.31,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2008,Pologne,1.39,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2009,Pologne,1.4,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2010,Pologne,1.41,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2011,Pologne,1.33,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2012,Pologne,1.33,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2013,Pologne,1.29,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
